Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	3.965968437	4.397905593	875.324	2379.786	0.4319	1504.462	-69.59	NOBO?
2	Spectrogram 1	1	6.253272983	6.636125404	711.201	2407.140	0.3829	1695.939	-69.65	NOBO?
3	Spectrogram 1	1	7.794502323	8.226439480	711.201	2407.140	0.4319	1695.939	-71.17	NOBO?
4	Spectrogram 1	1	9.090313793	9.522250949	656.493	2434.494	0.4319	1778.001	-69.66	NOBO?
5	Spectrogram 1	1	173.404513460	173.757916588	1340.340	2434.494	0.3534	1094.154	-75.79	NOBO?
6	Spectrogram 1	1	203.125508182	203.675246381	1312.986	2325.079	0.5497	1012.093	-75.56	NOBO?
7	Spectrogram 1	1	228.023939102	229.000169481	1340.340	2543.910	0.9762	1203.570	-76.43	NOBO?
8	Spectrogram 1	1	238.451164268	239.516399860	957.385	2352.433	1.0652	1395.048	-73.78	NOBO?
9	Spectrogram 1	1	381.698336875	382.607028012	1121.509	2243.017	0.9087	1121.508	-69.67	NOBO?
10	Spectrogram 1	1	389.420797775	390.487865832	1340.340	2379.786	1.0671	1039.446	-74.70	NOBO?
11	Spectrogram 1	1	407.616190334	408.712525406	1641.232	2489.202	1.0963	847.970	-77.17	NOBO?
12	Spectrogram 1	1	441.434723938	443.161739719	1860.063	2817.448	1.7270	957.385	-77.72	
13	Spectrogram 1	1	514.969066767	515.754407051	1668.586	2680.679	0.7853	1012.093	-77.90	NOBO
14	Spectrogram 1	1	516.421946293	517.010951506	1586.524	2461.848	0.5890	875.324	-72.73	NOBO
15	Spectrogram 1	1	517.796291791	518.247862454	1531.817	2653.325	0.4516	1121.508	-75.85	NOBO
16	Spectrogram 1	1	519.170637288	519.563307431	1477.109	2543.910	0.3927	1066.801	-75.24	NOBO
17	Spectrogram 1	1	520.387914729	521.192888521	1723.294	2598.617	0.8050	875.323	-76.90	NOBO
18	Spectrogram 1	1	521.683726199	522.135296862	1504.463	2461.848	0.4516	957.385	-76.25	NOBO
19	Spectrogram 1	1	534.995246367	535.466450537	1559.170	2625.971	0.4712	1066.801	-77.22	NOBO
20	Spectrogram 1	1	535.898387694	536.408858879	1531.817	2516.556	0.5105	984.739	-77.17	NOBO
21	Spectrogram 1	1	573.398388985	573.869593155	1477.109	2516.556	0.4712	1039.447	-76.23	NOBO
22	Spectrogram 1	1	574.753100975	575.204671639	1531.817	2352.433	0.4516	820.616	-74.21	NOBO
23	Spectrogram 1	1	576.068545952	576.539750123	1531.817	2708.033	0.4712	1176.216	-74.61	NOBO
24	Spectrogram 1	1	577.325092404	577.933731124	1312.986	2680.679	0.6086	1367.693	-75.43	NOBO
25	Spectrogram 1	1	578.758338423	579.170642072	1422.401	2680.679	0.4123	1258.278	-75.18	NOBO
26	Spectrogram 1	1	580.054149892	580.544987570	1395.047	2762.741	0.4908	1367.694	-75.11	NOBO
27	Spectrogram 1	1	581.644463968	582.174568660	1012.093	2571.264	0.5301	1559.171	-72.87	NOBO
28	Spectrogram 1	1	582.724306859	583.332945580	1066.801	2571.264	0.6086	1504.463	-72.86	NOBO
29	Spectrogram 1	1	583.804149750	584.334254442	1285.632	2516.556	0.5301	1230.924	-74.77	NOBO
30	Spectrogram 1	1	584.962526670	585.531898376	1094.155	2680.679	0.5694	1586.524	-74.03	NOBO
31	Spectrogram 1	1	586.062004108	586.709909843	1285.632	2680.679	0.6479	1395.047	-72.51	NOBO
32	Spectrogram 1	1	587.181114013	587.671951691	1559.170	2434.494	0.4908	875.324	-76.88	NOBO
33	Spectrogram 1	1	589.262265767	589.929805009	1942.125	2735.387	0.6675	793.262	-78.11	NOBO
34	Spectrogram 1	1	590.479543208	591.186349464	1832.709	2680.679	0.7068	847.970	-76.21	NOBO
35	Spectrogram 1	1	591.382684535	591.971689748	1805.355	2735.387	0.5890	930.032	-74.47	NOBO
36	Spectrogram 1	1	592.462527426	592.953365104	1805.355	2926.864	0.4908	1121.509	-73.37	NOBO
37	Spectrogram 1	1	593.522736810	594.033207995	1750.648	2735.387	0.5105	984.739	-72.39	NOBO
38	Spectrogram 1	1	594.445511644	594.995249844	1832.709	2790.094	0.5497	957.385	-73.05	NOBO
39	Spectrogram 1	1	595.584255057	596.114359749	1668.586	2516.556	0.5301	847.970	-76.55	NOBO
40	Spectrogram 1	1	597.724307332	598.274045531	1449.755	2489.202	0.5497	1039.447	-75.81	NOBO
41	Spectrogram 1	1	598.980851787	599.569857001	1504.463	2708.033	0.5890	1203.570	-76.09	NOBO
42	Spectrogram 1	1	588.673260554	589.340799796	1367.693	2352.433	0.6675	984.740	-73.51	NOBO
